ID ,Data,Valor Recebido 
129301,1/1/23,"36,942.87"
129301,3/1/23,"36,879.60"
129301,9/1/23,"1,557,000.00"
129352,2/1/23,"13,176.29"
129352,6/1/23,"8,675.28"
129353,2/1/23,"13,176.29"
129353,6/1/23,"8,675.28"
129364,1/1/23,"21,243.81"
129364,3/1/23,"21,984.14"
129364,4/1/23,"22,050.28"
129364,5/1/23,"42,179.85"
129364,6/1/23,"22,334.42"
129364,7/1/23,"22,941.86"
129364,8/1/23,"22,556.89"
129364,9/1/23,"42,946.71"
129364,10/1/23,"22,645.09"
129364,11/1/23,"44,112.71"
129364,12/1/23,"22,766.52"
129369,1/1/23,"11,904.06"
129369,2/1/23,"6,186.37"
129369,3/1/23,"12,047.49"
129369,4/1/23,"12,110.89"
129369,5/1/23,"6,303.40"
129369,6/1/23,"6,297.74"
129369,7/1/23,"6,339.59"
129369,8/1/23,"6,365.64"
129369,9/1/23,"12,475.13"
129369,10/1/23,"12,463.78"
129369,11/1/23,"12,455.11"
129369,12/1/23,"12,442.68"
129390,1/1/23,"20,502.42"
129390,2/1/23,"20,496.41"
129390,3/1/23,"20,468.97"
129390,5/1/23,"20,262.31"
129390,6/1/23,"20,249.35"
129390,8/1/23,"20,161.32"
129390,9/1/23,"20,033.24"
129390,10/1/23,"19,945.07"
129390,11/1/23,"19,861.32"
129390,12/1/23,"19,773.21"
129404,1/1/23,"5,367.95"
129404,2/1/23,"5,362.24"
129404,3/1/23,"5,564.31"
129404,4/1/23,"5,367.32"
129404,5/1/23,"5,384.32"
129404,6/1/23,"5,397.83"
129404,7/1/23,"5,655.59"
129404,8/1/23,"5,544.95"
129404,9/1/23,"5,326.88"
129404,10/1/23,"5,580.60"
129404,11/1/23,"5,469.79"
129404,12/1/23,"5,454.73"
129821,7/1/23,"217,333.48"
129896,1/1/23,"10,642.04"
129896,2/1/23,"10,649.54"
129896,3/1/23,"10,678.05"
129896,5/1/23,"11,219.39"
129896,6/1/23,"11,293.56"
129896,7/1/23,"10,785.33"
129896,9/1/23,"22,551.30"
129896,11/1/23,"9,932.57"
129897,1/1/23,"10,644.45"
129897,2/1/23,"10,610.36"
129897,3/1/23,"10,597.32"
129897,5/1/23,"11,140.29"
129897,6/1/23,"11,139.30"
129897,7/1/23,"10,577.15"
129897,9/1/23,"22,190.57"
129897,11/1/23,"9,579.62"
129914,1/1/23,"5,673.98"
129914,2/1/23,"5,691.06"
129914,3/1/23,"5,702.38"
129914,4/1/23,"5,732.48"
129914,5/1/23,"5,754.37"
129914,6/1/23,"5,770.90"
129914,7/1/23,"5,766.06"
129914,8/1/23,"5,747.86"
129914,9/1/23,"5,731.63"
129914,10/1/23,"5,726.44"
129914,11/1/23,"5,723.11"
129914,12/1/23,"5,718.07"
129915,1/1/23,"5,319.29"
129915,2/1/23,"5,335.29"
129915,3/1/23,"5,345.91"
129915,4/1/23,"5,374.12"
129915,5/1/23,"5,394.64"
129915,6/1/23,"5,410.13"
129915,7/1/23,"5,405.60"
129915,8/1/23,"5,388.53"
129915,9/1/23,"5,373.32"
129915,10/1/23,"5,368.45"
129915,11/1/23,"5,365.33"
129915,12/1/23,"5,360.62"
129927,1/1/23,"7,910.62"
129927,2/1/23,"2,673.37"
129927,3/1/23,"2,677.57"
129927,4/1/23,"2,690.45"
129927,6/1/23,"2,706.30"
129927,7/1/23,"2,699.47"
129927,8/1/23,"2,771.53"
129927,9/1/23,"2,771.10"
129927,11/1/23,"5,536.34"
129927,12/1/23,"2,837.11"
129928,1/1/23,"10,284.64"
129928,2/1/23,"10,325.84"
129928,3/1/23,"10,356.42"
129928,4/1/23,"10,421.87"
129928,5/1/23,"10,472.25"
129928,6/1/23,"10,512.98"
129928,7/1/23,"10,514.91"
129928,8/1/23,"10,492.41"
129928,9/1/23,"10,473.48"
129928,10/1/23,"10,474.83"
129928,11/1/23,"10,479.66"
129928,12/1/23,"10,481.37"
129929,1/1/23,"1,571.48"
129929,3/1/23,337.49
129929,4/1/23,"1,651.79"
129929,5/1/23,"1,654.46"
129929,6/1/23,"1,364.85"
129929,8/1/23,"1,332.84"
129929,9/1/23,"1,287.43"
129930,1/1/23,"4,118.52"
129930,2/1/23,"2,060.80"
129930,3/1/23,"2,061.04"
129930,4/1/23,"2,067.96"
129930,5/1/23,"2,071.85"
129930,6/1/23,"2,073.94"
129930,7/1/23,"2,068.18"
129930,8/1/23,"2,057.73"
129930,9/1/23,"2,047.96"
129930,10/1/23,"2,084.44"
129930,11/1/23,"2,036.95"
129930,12/1/23,"2,031.20"
129934,1/1/23,"8,734.46"
129934,2/1/23,"8,744.55"
129934,3/1/23,"8,745.92"
129934,4/1/23,"8,775.29"
129934,5/1/23,"8,792.26"
129934,6/1/23,"8,800.67"
129934,7/1/23,"8,776.21"
129934,8/1/23,"8,731.45"
129934,9/1/23,"8,689.81"
129934,11/1/23,"17,713.84"
129934,12/1/23,"404,265.45"
129940,1/1/23,"23,118.00"
129940,2/1/23,"23,181.75"
129940,3/1/23,"23,221.03"
129940,4/1/23,"23,338.53"
129940,5/1/23,"23,420.75"
129940,6/1/23,"23,483.83"
129940,7/1/23,"23,456.81"
129940,8/1/23,"23,376.15"
129940,9/1/23,"23,302.59"
129940,10/1/23,"24,110.38"
129940,11/1/23,"23,255.89"
129945,1/1/23,"2,090.56"
129945,2/1/23,"2,099.05"
129945,3/1/23,"2,111.68"
129945,4/1/23,"2,122.35"
129945,5/1/23,"2,139.59"
129945,6/1/23,"2,154.40"
129945,7/1/23,"2,167.20"
129945,8/1/23,"2,237.22"
129945,9/1/23,"2,234.24"
129945,10/1/23,"2,237.88"
129945,11/1/23,"2,240.89"
129945,12/1/23,"2,249.36"
129947,1/1/23,"7,549.45"
129947,2/1/23,"4,044.97"
129947,3/1/23,"4,051.93"
129947,5/1/23,"8,526.10"
129947,6/1/23,"15,191.25"
129947,9/1/23,"3,566.21"
129947,10/1/23,"10,487.05"
